Dataset, Graph_ID, Vertices,Edges, Prim_Cost ,Prim_heapPush ,Prim_heapPop ,Prim_edgeChecks ,Prim_Time_ns ,Kruskal_Cost ,Kruskal_comparisons ,Kruskal_findOps ,Kruskal_unionOps ,Kruskal_Time_ns 
small,1,4,6,103.00,6,3,3,15107.000,103.00,3,16,3,18664.000
small,2,6,12,207.00,12,5,5,5333.000,207.00,5,22,5,3645.000
small,3,5,10,54.00,10,4,4,11537.000,54.00,4,20,4,3043.000
small,4,4,6,64.00,6,3,3,6011.000,64.00,3,14,3,4356.000
small,5,6,15,42.00,15,5,5,15842.000,42.00,5,24,5,6343.000
medium,6,10,45,95.00,45,9,9,15380.000,95.00,9,49,9,14829.000
medium,7,13,78,156.00,78,18,18,23464.000,156.00,18,90,12,28272.000
medium,8,10,45,117.00,45,12,12,23030.000,117.00,12,60,9,17241.000
medium,9,15,33,287.00,33,18,18,13631.000,287.00,17,94,14,14606.000
medium,10,15,105,103.00,105,18,18,58447.000,103.00,18,91,14,55871.000
medium,11,15,105,121.00,105,26,26,103584.000,121.00,26,123,14,43919.000
medium,12,14,84,194.00,84,24,24,53490.000,194.00,25,120,13,52877.000
medium,13,15,101,197.00,101,28,28,209534.000,197.00,28,127,14,263437.000
medium,14,11,55,104.00,55,11,11,46150.000,104.00,11,62,10,19214.000
medium,15,15,105,122.00,105,26,26,195564.000,122.00,28,129,14,109100.000
large,16,21,210,159.00,210,22,22,28589.000,159.00,22,118,20,54924.000
large,17,21,210,141.00,210,43,43,47733.000,141.00,43,204,20,172730.000
large,18,26,325,102.00,325,29,29,40719.000,102.00,34,178,25,76246.000
large,19,24,276,109.00,276,34,34,30645.000,109.00,33,162,23,30666.000
large,20,21,210,72.00,210,22,22,9745.000,72.00,22,121,20,23720.000
large,21,26,325,125.00,325,50,50,32974.000,125.00,49,241,25,65904.000
large,22,20,190,147.00,190,27,27,9071.000,147.00,35,172,19,46134.000
large,23,26,325,166.00,325,43,43,32187.000,166.00,43,221,25,158625.000
large,24,28,378,105.00,378,49,49,43711.000,105.00,51,265,27,102632.000
large,25,22,231,171.00,231,33,33,9254.000,171.00,32,164,21,56038.000
extralarge,26,78,1780,254.00,1780,237,237,224610.000,254.00,235,1112,77,366125.000
extralarge,27,87,1298,457.00,1298,298,298,129119.000,457.00,297,1367,86,202571.000
extralarge,28,55,1485,155.00,1485,116,116,96533.000,155.00,110,546,54,248597.000
